skill_id,canonical_skill_key,original_tag_ids,tag_count,is_untagged
1,1,[1],1,False
2,2,[2],1,False
3,2;1176,"[2,1176]",2,False
4,3,[3],1,False
5,3;89,"[3,89]",2,False
6,3;346,"[3,346]",2,False
7,4,[4],1,False
8,5,[5],1,False
9,6,[6],1,False
10,7,[7],1,False
11,8,[8],1,False
12,9,[9],1,False
13,10,[10],1,False
14,10;1025,"[10,1025]",2,False
15,11,[11],1,False
16,12,[12],1,False
17,13,[13],1,False
18,14,[14],1,False
19,15,[15],1,False
20,16,[16],1,False
21,17,[17],1,False
22,18,[18],1,False
23,19,[19],1,False
24,20,[20],1,False
25,21,[21],1,False
26,22,[22],1,False
27,23,[23],1,False
28,24,[24],1,False
29,25,[25],1,False
30,26,[26],1,False
31,27,[27],1,False
32,28,[28],1,False
33,29,[29],1,False
34,30,[30],1,False
35,30;1043,"[30,1043]",2,False
36,31,[31],1,False
37,31;1043,"[31,1043]",2,False
38,32,[32],1,False
39,33,[33],1,False
40,34,[34],1,False
41,34;676,"[34,676]",2,False
42,35,[35],1,False
43,36,[36],1,False
44,37,[37],1,False
45,38,[38],1,False
46,39,[39],1,False
47,40,[40],1,False
48,41,[41],1,False
49,42,[42],1,False
50,43,[43],1,False
51,44,[44],1,False
52,45,[45],1,False
53,45;1143,"[45,1143]",2,False
54,46,[46],1,False
55,47,[47],1,False
56,48,[48],1,False
57,49,[49],1,False
58,50,[50],1,False
59,51,[51],1,False
60,52,[52],1,False
61,53,[53],1,False
62,54,[54],1,False
63,55,[55],1,False
64,56,[56],1,False
65,57,[57],1,False
66,58,[58],1,False
67,58;342,"[58,342]",2,False
68,59,[59],1,False
69,60,[60],1,False
70,61,[61],1,False
71,61;966,"[61,966]",2,False
72,61;1275,"[61,1275]",2,False
73,61;1283,"[61,1283]",2,False
74,61;1295,"[61,1295]",2,False
75,62,[62],1,False
76,62;251,"[62,251]",2,False
77,62;382,"[62,382]",2,False
78,63,[63],1,False
79,63;384,"[63,384]",2,False
80,64,[64],1,False
81,65,[65],1,False
82,65;384,"[65,384]",2,False
83,66,[66],1,False
84,67,[67],1,False
85,67;387,"[67,387]",2,False
86,68,[68],1,False
87,69,[69],1,False
88,70,[70],1,False
89,71,[71],1,False
90,72,[72],1,False
91,73,[73],1,False
92,74,[74],1,False
93,74;384,"[74,384]",2,False
94,74;384;508,"[74,384,508]",3,False
95,75,[75],1,False
96,76,[76],1,False
97,76;80,"[76,80]",2,False
