skill_id,canonical_skill_key,original_tag_ids,tag_count,is_untagged,source_interaction_count,retained_interaction_count
1,1,[1],1,False,18626,17570
2,2,[2],1,False,12503,12282
3,3,[3],1,False,18054,17161
4,4,[4],1,False,5385,5138
5,5,[5],1,False,19262,18190
6,6,[6],1,False,34307,31468
7,7,[7],1,False,11269,10334
8,8,[8],1,False,24487,23498
9,9,[9],1,False,3580,3373
10,10,[10],1,False,1721,1688
11,11,[11],1,False,21976,21396
12,12,[12],1,False,15052,14318
13,13,[13],1,False,22104,21027
14,14,[14],1,False,20165,18654
15,15,[15],1,False,45027,42351
16,16,[16],1,False,19,19
17,17,[17],1,False,15,15
18,18,[18],1,False,2,2
19,19,[19],1,False,7,7
20,20,[20],1,False,7,7
21,21,[21],1,False,2,2
22,22,[22],1,False,78103,65843
23,23,[23],1,False,4,4
24,24,[24],1,False,2,2
25,25,[25],1,False,4130,3606
26,26,[26],1,False,16227,15320
27,27,[27],1,False,9341,8676
28,28,[28],1,False,11794,10929
29,29,[29],1,False,1757,1674
30,30,[30],1,False,7650,7176
31,31,[31],1,False,11258,10658
32,32,[32],1,False,5292,5042
33,33,[33],1,False,2879,2687
34,34,[34],1,False,26406,25879
35,35,[35],1,False,33966,32817
36,36,[36],1,False,18557,17756
37,37,[37],1,False,8425,8005
38,38,[38],1,False,24849,23559
39,39,[39],1,False,15226,14916
40,40,[40],1,False,12245,12058
41,41,[41],1,False,6276,6042
42,42,[42],1,False,2017,1957
43,43,[43],1,False,4548,4325
44,44,[44],1,False,3583,3488
45,45,[45],1,False,5687,5397
46,46,[46],1,False,17897,17188
47,47,[47],1,False,19227,18609
48,48,[48],1,False,13904,13190
49,49,[49],1,False,6174,6099
50,50,[50],1,False,3614,3480
51,51,[51],1,False,1520,1348
52,52,[52],1,False,9658,9026
53,53,[53],1,False,10663,10183
54,54,[54],1,False,2745,2691
55,55,[55],1,False,8203,7448
56,56,[56],1,False,2186,2155
57,57,[57],1,False,914,884
58,58,[58],1,False,8962,8059
59,59,[59],1,False,73183,70297
60,60,[60],1,False,15923,15041
61,61,[61],1,False,22745,21276
62,62,[62],1,False,14956,14338
63,63,[63],1,False,1208,1105
64,64,[64],1,False,12208,11791
65,65,[65],1,False,6906,6252
66,66,[66],1,False,9137,8507
67,67,[67],1,False,15582,15297
68,68,[68],1,False,6674,6138
69,69,[69],1,False,6138,5812
70,70,[70],1,False,14747,13315
71,71,[71],1,False,5661,4975
72,72,[72],1,False,3920,3542
73,73,[73],1,False,4982,4633
74,74,[74],1,False,1264,1180
75,75,[75],1,False,537,488
76,76,[76],1,False,3862,3488
77,77,[77],1,False,1632,1409
78,78,[78],1,False,2951,2618
79,79,[79],1,False,492,430
80,80,[80],1,False,3005,2630
81,81,[81],1,False,8780,8421
82,82,[82],1,False,377,343
83,83,[83],1,False,224,206
84,84,[84],1,False,562,509
85,85,[85],1,False,1009,877
86,86,[86],1,False,1287,1180
87,87,[87],1,False,1697,1522
88,88,[88],1,False,242,219
89,89,[89],1,False,602,543
90,90,[90],1,False,2268,2166
91,91,[91],1,False,248,248
92,92,[92],1,False,3141,3072
93,93,[93],1,False,742,728
94,94,[94],1,False,1106,1091
95,95,[95],1,False,309,309
96,96,[96],1,False,2032,1695
97,97,[97],1,False,322,312
98,98,[98],1,False,461,444
99,99,[99],1,False,198,184
100,100,[100],1,False,22,22
101,101,[101],1,False,4,4
102,102,[102],1,False,2,2
