skill_id,canonical_skill_key,original_tag_ids,tag_count,is_untagged
1,1,[1],1,False
2,2,[2],1,False
3,3,[3],1,False
4,4,[4],1,False
5,5,[5],1,False
6,6,[6],1,False
7,7,[7],1,False
8,8,[8],1,False
9,9,[9],1,False
10,10,[10],1,False
11,11,[11],1,False
12,12,[12],1,False
13,13,[13],1,False
14,14,[14],1,False
15,15,[15],1,False
16,16,[16],1,False
17,17,[17],1,False
18,18,[18],1,False
19,19,[19],1,False
20,20,[20],1,False
21,21,[21],1,False
22,22,[22],1,False
23,23,[23],1,False
24,24,[24],1,False
25,25,[25],1,False
26,26,[26],1,False
27,27,[27],1,False
28,28,[28],1,False
29,29,[29],1,False
30,30,[30],1,False
31,31,[31],1,False
32,32,[32],1,False
33,33,[33],1,False
34,34,[34],1,False
35,35,[35],1,False
36,36,[36],1,False
37,37,[37],1,False
38,38,[38],1,False
39,39,[39],1,False
40,40,[40],1,False
41,41,[41],1,False
42,42,[42],1,False
43,43,[43],1,False
44,44,[44],1,False
45,45,[45],1,False
46,46,[46],1,False
47,47,[47],1,False
48,48,[48],1,False
49,49,[49],1,False
50,50,[50],1,False
51,51,[51],1,False
52,52,[52],1,False
53,53,[53],1,False
54,54,[54],1,False
55,55,[55],1,False
56,56,[56],1,False
57,57,[57],1,False
58,58,[58],1,False
59,59,[59],1,False
60,60,[60],1,False
61,61,[61],1,False
62,62,[62],1,False
63,63,[63],1,False
64,64,[64],1,False
65,65,[65],1,False
66,66,[66],1,False
67,67,[67],1,False
68,68,[68],1,False
69,69,[69],1,False
70,70,[70],1,False
71,71,[71],1,False
72,72,[72],1,False
73,73,[73],1,False
74,74,[74],1,False
75,75,[75],1,False
76,76,[76],1,False
77,77,[77],1,False
78,78,[78],1,False
79,79,[79],1,False
80,80,[80],1,False
81,81,[81],1,False
82,82,[82],1,False
83,83,[83],1,False
84,84,[84],1,False
85,85,[85],1,False
86,86,[86],1,False
87,87,[87],1,False
88,88,[88],1,False
89,89,[89],1,False
90,90,[90],1,False
91,91,[91],1,False
92,92,[92],1,False
93,93,[93],1,False
94,94,[94],1,False
95,95,[95],1,False
96,96,[96],1,False
97,97,[97],1,False
98,98,[98],1,False
99,99,[99],1,False
100,100,[100],1,False
101,101,[101],1,False
102,102,[102],1,False
